LowerBounds,UpperBounds
19,546
157,184
130,672
263,617
216,658
179,268
150,297
123,582
210,642
129,153
98,300
51,274
26,387
164,415
10,548
58,486
226,310
105,178
229,823
202,468
222,394
135,700
17,343
160,203
216,251
67,167
265,535
201,245
240,531
108,564
260,591
64,279
155,351
143,538
254,457
102,416
247,334
265,780
176,257
222,368
17,178
119,195
147,640
150,336
165,544
192,275
216,409
104,1104
244,666
291,334
195,1100
178,429
233,1063
241,779
297,579
244,469
142,392
246,570
246,448
30,737
201,515
162,179
199,1199
14,431
61,735
140,346
211,342
181,526
205,465
179,308
213,446
243,277
6,928
224,925
147,294
119,430
110,1110
218,793
4,1004
240,790
142,259
203,381
259,790
249,289
231,466
262,975
21,1021
94,543
167,539
9,403
101,294
290,363
187,462
198,356
300,606
96,109
253,569
2,416
269,1269
277,490
145,260
6,423
43,640
143,612
218,255
136,789
117,963
129,260
92,966
225,680
176,564
293,686
91,205
176,264
86,259
115,139
274,562
268,795
126,308
8,593
252,320
229,753
71,172
140,304
131,435
96,678
117,566
164,635
185,263
244,471
249,1034
98,535
150,268
24,354
62,422
60,405
29,194
17,113
34,44
249,337
238,494
210,313
111,763
54,388
265,1265
50,461
138,256
128,323
285,811
146,697
253,865
30,115
225,307
7,153
275,328
221,450
81,569
100,286
105,134
177,651
147,460
85,234
28,200
99,452
291,470
105,352
139,302
253,670
257,904
203,595
152,250
96,621
257,321
112,641
266,1149
278,820
66,466
288,409
105,274
48,183
32,1032
97,214
58,142
63,74
261,311
78,678
15,145
292,640
9,281
86,619
118,186
203,263
125,587
142,221
139,614
228,603
228,258
91,207
42,356
278,616
194,501
155,281
200,403
14,268
105,397
174,543
21,183
54,445
74,289
64,291
188,439
273,853
77,113
40,697
12,95
187,340
180,222
256,520
42,132
207,413
85,304
76,234
63,154
89,544
176,286
129,265
99,528
78,519
130,253
271,402
72,400
89,225
123,793
119,634
223,563
15,533
26,239
117,212
227,562
2,314
77,281
82,254
185,1001
102,375
144,366
37,228
210,747
207,284
204,980
126,302
104,1104
152,419
73,294
136,198
9,220
85,252
7,519
217,408
27,87
223,386
83,950
30,198
284,307
222,417
178,340
213,392
220,428
71,674
77,511
142,246
202,435
169,564
80,261
108,300
13,52
223,491
57,345
195,332
107,148
175,1175
158,722
151,276
164,236
14,195
41,132
24,360
79,331
177,342
71,880
128,189
70,145
34,252
137,242
64,122
112,211
75,289
92,863
34,823
24,133
261,400
121,268
23,161
240,641
210,251
61,367
170,615
236,732
299,350
144,393
252,820
73,296
290,695
263,590
115,164
269,355
122,552
247,653
35,330
215,234
204,315
129,277
44,111
285,422
28,362
240,465
12,211
231,730
120,311
219,337
47,198
176,325
34,117
4,603
240,396
283,941
244,447
167,529
12,76
82,209
211,525
288,392
177,692
128,372
93,218
240,721
123,456
73,160
210,294
143,1106
14,470
124,165
19,440
285,592
197,744
289,935
274,336
140,785
181,325
223,755
28,130
266,1210
131,247
157,464
267,584
144,404
61,386
62,984
193,217
215,612
274,379
54,437
241,305
235,358
83,589
47,691
35,284
133,676
112,133
71,602
23,228
173,269
274,299
49,368
216,252
103,224
52,453
